id,temperature,created_at,sound,light,dust,fan,motion
"'2294', ","'22.52',"," '2026-05-05  22:33:15',"," '11.02', ","'255', ","'0.0312', ","'0', ",'0'
"'2295', ","'22.46',"," '2026-05-05  22:33:30',"," '15.72', ","'255', ","'0.0102', ","'0', ",'1'
"'2296', ","'22.49',"," '2026-05-05  22:33:45',"," '7.18', '","255', '","0.0246', '","0', '",0'
"'2297', ","'22.36',"," '2026-05-05  22:34:00',"," '7.2', '2","55', '0",".0163', '0","', '0",'
"'2298', ","'22.7', ","'2026-05-05  22:34:15', ","'13.94', '","255', '","0.0254', '","0', '",0'
"'2299', ","'22.77',"," '2026-05-05  22:34:30',"," '10.72', ","'255', ","'0.0308', ","'0', ",'0'
"'2300', ","'22.6', ","'2026-05-05  22:34:45', ","'7.95', '2","55', '0",".0324', '0","', '0",'
"'2301', ","'22.81',"," '2026-05-05  22:35:00',"," '16.36', ","'255', ","'0.0253', ","'0', ",'0'
"'2302', ","'22.49',"," '2026-05-05  22:35:15',"," '7.42', '","255', '","0.013', '0","', '0",'
"'2303', ","'22.63',"," '2026-05-05  22:35:30',"," '16.2', '","255', '","0.0199', '","0', '",0'
"'2304', ","'22.41',"," '2026-05-05  22:35:45',"," '8.15', '","255', '","0.0146', '","0', '",0'
"'2305', ","'22.74',"," '2026-05-05  22:36:00',"," '10.08', ","'255', ","'0.0197', ","'0', ",'0'
"'2306', ","'22.41',"," '2026-05-05  22:36:15',"," '12.09', ","'255', ","'0.0205', ","'0', ",'0'
"'2307', ","'22.74',"," '2026-05-05  22:36:30',"," '16.27', ","'255', ","'0.0108', ","'0', ",'0'
"'2308', ","'22.44',"," '2026-05-05  22:36:45',"," '8.85', '","255', '","0.0343', '","0', '",0'
"'2309', ","'22.46',"," '2026-05-05  22:37:00',"," '12.92', ","'255', ","'0.0347', ","'0', ",'0'
"'2310', ","'22.39',"," '2026-05-05  22:37:15',"," '16.18', ","'255', ","'0.0121', ","'0', ",'0'
"'2311', ","'22.76',"," '2026-05-05  22:37:30',"," '7', '255","', '0.0","231', '0',", '0',
"'2312', ","'22.34',"," '2026-05-05  22:37:45',"," '11.48', ","'255', ","'0.0089', ","'0', ",'0'
"'2313', ","'22.41',"," '2026-05-05  22:38:00',"," '12.65', ","'255', ","'0.0225', ","'0', ",'0'
"'2314', ","'22.22',"," '2026-05-05  22:38:15',"," '7.71', '","255', '","0.0122', '","0', '",0'
"'2315', ","'22.23',"," '2026-05-05  22:38:30',"," '15.84', ","'255', ","'0.01', '0","', '0",'
"'2316', ","'22.26',"," '2026-05-05  22:38:45',"," '8.43', '","255', '","0.0237', '","0', '",0'
"'2317', ","'22.26',"," '2026-05-05  22:39:00',"," '10.39', ","'255', ","'0.0178', ","'0', ",'0'
"'2318', ","'22.2', ","'2026-05-05  22:39:15', ","'16.41', '","255', '","0.0301', '","0', '",0'
"'2319', ","'22.44',"," '2026-05-05  22:39:30',"," '106.18',"," '255',"," '0.0246',"," '0',", '1'
"'2320', ","'22.47',"," '2026-05-05  22:39:45',"," '15.95', ","'255', ","'0.0173', ","'0', ",'0'
"'2321', ","'22.37',"," '2026-05-05  22:40:00',"," '7.7', '2","55', '0",".0249', '0","', '0",'
"'2322', ","'22.29',"," '2026-05-05  22:40:15',"," '7.18', '","255', '","0.0145', '","0', '",0'
"'2323', ","'22.3', ","'2026-05-05  22:40:30', ","'9.62', '2","55', '0",".0264', '0","', '0",'
"'2324', ","'22.57',"," '2026-05-05  22:40:45',"," '134.34',"," '255',"," '0.0141',"," '0',", '0'
"'2325', ","'22.31',"," '2026-05-05  22:41:00',"," '14.36', ","'255', ","'0.0143', ","'0', ",'0'
"'2326', ","'22.54',"," '2026-05-05  22:41:15',"," '10.07', ","'255', ","'0.0264', ","'0', ",'0'
"'2327', ","'22.5', ","'2026-05-05  22:41:30', ","'6.93', '2","55', '0",".0244', '0","', '0",'
"'2328', ","'22.27',"," '2026-05-05  22:41:45',"," '16.08', ","'255', ","'0.0241', ","'0', ",'0'
"'2329', ","'22.4', ","'2026-05-05  22:42:00', ","'14.55', '","255', '","0.0259', '","0', '",0'
"'2330', ","'22.7', ","'2026-05-05  22:42:15', ","'8.48', '2","55', '0",".0096', '0","', '0",'
"'2331', ","'22.52',"," '2026-05-05  22:42:30',"," '9.28', '","255', '","0.0152', '","0', '",0'
"'2332', ","'22.45',"," '2026-05-05  22:42:45',"," '8.45', '","255', '","0.0184', '","0', '",0'
"'2333', ","'22.61',"," '2026-05-05  22:43:00',"," '14.09', ","'255', ","'0.0297', ","'0', ",'0'
"'2334', ","'22.69',"," '2026-05-05  22:43:15',"," '12.84', ","'255', ","'0.017', '","0', '",0'
"'2335', ","'22.14',"," '2026-05-05  22:43:30',"," '11.13', ","'255', ","'0.011', '","0', '",0'
"'2336', ","'22.63',"," '2026-05-05  22:43:45',"," '15.31', ","'255', ","'0.0161', ","'0', ",'0'
"'2337', ","'22.15',"," '2026-05-05  22:44:00',"," '16.27', ","'255', ","'0.0146', ","'0', ",'0'
"'2338', ","'22.09',"," '2026-05-05  22:44:15',"," '11.96', ","'255', ","'0.0256', ","'0', ",'0'
"'2339', ","'22.46',"," '2026-05-05  22:44:30',"," '15.38', ","'255', ","'0.0086', ","'0', ",'0'
"'2340', ","'22.59',"," '2026-05-05  22:44:45',"," '6.84', '","255', '","0.0191', '","0', '",0'
"'2341', ","'22.24',"," '2026-05-05  22:45:00',"," '6.45', '","255', '","0.0245', '","0', '",0'
"'2342', ","'22.11',"," '2026-05-05  22:45:15',"," '6.74', '","255', '","0.021', '0","', '0",'
"'2343', ","'22.35',"," '2026-05-05  22:45:30',"," '9.01', '","255', '","0.0206', '","0', '",0'
"'2344', ","'22.44',"," '2026-05-05  22:45:45',"," '13.15', ","'255', ","'0.0171', ","'0', ",'0'
"'2345', ","'22.53',"," '2026-05-05  22:46:00',"," '15.65', ","'255', ","'0.0262', ","'0', ",'1'
"'2346', ","'22.44',"," '2026-05-05  22:46:15',"," '15.15', ","'255', ","'0.0197', ","'0', ",'0'
"'2347', ","'22.56',"," '2026-05-05  22:46:30',"," '13.98', ","'255', ","'0.0347', ","'0', ",'0'
"'2348', ","'22.32',"," '2026-05-05  22:46:45',"," '6.48', '","255', '","0.01', '0'",", '0'",
"'2349', ","'22.43',"," '2026-05-05  22:47:00',"," '13.49', ","'255', ","'0.012', '","0', '",0'
"'2350', ","'22.31',"," '2026-05-05  22:47:15',"," '12.49', ","'255', ","'0.018', '","0', '",0'
"'2351', ","'22.06',"," '2026-05-05  22:47:30',"," '9.65', '","255', '","0.0092', '","0', '",0'
"'2352', ","'22.04',"," '2026-05-05  22:47:45',"," '15.99', ","'255', ","'0.0187', ","'0', ",'1'
"'2353', ","'22.39',"," '2026-05-05  22:48:00',"," '13.69', ","'255', ","'0.0336', ","'0', ",'0'
"'2354', ","'22.35',"," '2026-05-05  22:48:15',"," '13.73', ","'255', ","'0.0178', ","'0', ",'0'
"'2355', ","'22.37',"," '2026-05-05  22:48:30',"," '13.23', ","'255', ","'0.0282', ","'0', ",'0'
"'2356', ","'22.42',"," '2026-05-05  22:48:45',"," '15.51', ","'255', ","'0.0256', ","'0', ",'0'
"'2357', ","'22.15',"," '2026-05-05  22:49:00',"," '10.09', ","'255', ","'0.0282', ","'0', ",'0'
"'2358', ","'22.1', ","'2026-05-05  22:49:15', ","'11.3', '2","55', '0",".0286', '0","', '0",'
"'2359', ","'22.15',"," '2026-05-05  22:49:30',"," '14.28', ","'255', ","'0.0343', ","'0', ",'0'
"'2360', ","'22.56',"," '2026-05-05  22:49:45',"," '11.93', ","'255', ","'0.0093', ","'0', ",'0'
"'2361', ","'22.32',"," '2026-05-05  22:50:00',"," '9.25', '","255', '","0.0102', '","0', '",0'
"'2362', ","'22.3', ","'2026-05-05  22:50:15', ","'11.98', '","255', '","0.0181', '","0', '",0'
"'2363', ","'22.46',"," '2026-05-05  22:50:30',"," '10.4', '","255', '","0.0249', '","0', '",0'
"'2364', ","'22.51',"," '2026-05-05  22:50:45',"," '7', '255","', '0.0","144', '0',", '0',
"'2365', ","'22.31',"," '2026-05-05  22:51:00',"," '7.43', '","255', '","0.0214', '","0', '",0'
"'2366', ","'21.96',"," '2026-05-05  22:51:15',"," '14.52', ","'255', ","'0.0197', ","'0', ",'0'
"'2367', ","'22.5', ","'2026-05-05  22:51:30', ","'15.24', '","255', '","0.022', '0","', '1",'
"'2368', ","'22.13',"," '2026-05-05  22:51:45',"," '14.49', ","'255', ","'0.0236', ","'0', ",'0'
"'2369', ","'22.35',"," '2026-05-05  22:52:00',"," '14.13', ","'255', ","'0.0339', ","'0', ",'1'
"'2370', ","'22.11',"," '2026-05-05  22:52:15',"," '9.56', '","255', '","0.013', '0","', '0",'
"'2371', ","'22.32',"," '2026-05-05  22:52:30',"," '11.32', ","'255', ","'0.0256', ","'0', ",'0'
"'2372', ","'22.09',"," '2026-05-05  22:52:45',"," '6.7', '2","55', '0",".0169', '0","', '0",'
"'2373', ","'22.23',"," '2026-05-05  22:53:00',"," '13.03', ","'255', ","'0.0286', ","'0', ",'0'
"'2374', ","'21.94',"," '2026-05-05  22:53:15',"," '15.47', ","'255', ","'0.0308', ","'0', ",'0'
"'2375', ","'22.4', ","'2026-05-05  22:53:30', ","'7.83', '2","55', '0",".0104', '0","', '0",'
"'2376', ","'22.1', ","'2026-05-05  22:53:45', ","'15.18', '","255', '","0.0125', '","0', '",0'
"'2377', ","'22.47',"," '2026-05-05  22:54:00',"," '9.33', '","255', '","0.026', '0","', '0",'
"'2378', ","'22.34',"," '2026-05-05  22:54:15',"," '10.53', ","'255', ","'0.0253', ","'0', ",'0'
"'2379', ","'22.02',"," '2026-05-05  22:54:30',"," '15.31', ","'255', ","'0.0185', ","'0', ",'0'
"'2380', ","'22.15',"," '2026-05-05  22:54:45',"," '15.15', ","'255', ","'0.0135', ","'0', ",'0'
"'2381', ","'22.48',"," '2026-05-05  22:55:00',"," '14.97', ","'255', ","'0.0149', ","'0', ",'0'
"'2382', ","'22.45',"," '2026-05-05  22:55:15',"," '8.57', '","255', '","0.0236', '","0', '",0'
"'2383', ","'22.46',"," '2026-05-05  22:55:30',"," '13.25', ","'255', ","'0.029', '","0', '",0'
"'2384', ","'22.05',"," '2026-05-05  22:55:45',"," '14.87', ","'255', ","'0.0326', ","'0', ",'0'
"'2385', ","'22.32',"," '2026-05-05  22:56:00',"," '12.16', ","'255', ","'0.0297', ","'0', ",'0'
"'2386', ","'22.28',"," '2026-05-05  22:56:15',"," '14.28', ","'255', ","'0.0167', ","'0', ",'0'
"'2387', ","'22.08',"," '2026-05-05  22:56:30',"," '11.95', ","'255', ","'0.0293', ","'0', ",'0'
"'2388', ","'22.03',"," '2026-05-05  22:56:45',"," '14.44', ","'255', ","'0.0157', ","'0', ",'0'
"'2389', ","'21.95',"," '2026-05-05  22:57:00',"," '14.46', ","'255', ","'0.0243', ","'0', ",'0'
"'2390', ","'22.14',"," '2026-05-05  22:57:15',"," '7.34', '","255', '","0.0275', '","0', '",0'
"'2391', ","'22.1', ","'2026-05-05  22:57:30', ","'11.52', '","255', '","0.0319', '","0', '",0'
"'2392', ","'22.41',"," '2026-05-05  22:57:45',"," '12.18', ","'255', ","'0.0307', ","'0', ",'0'
"'2393', ","'22.03',"," '2026-05-05  22:58:00',"," '7.87', '","255', '","0.0085', '","0', '",0'
"'2394', ","'22.17',"," '2026-05-05  22:58:15',"," '15.41', ","'255', ","'0.019', '","0', '",0'
"'2395', ","'22.03',"," '2026-05-05  22:58:30',"," '8.12', '","255', '","0.0289', '","0', '",0'
"'2396', ","'22.33',"," '2026-05-05  22:58:45',"," '13.21', ","'255', ","'0.0157', ","'0', ",'0'
"'2397', ","'22.15',"," '2026-05-05  22:59:00',"," '7.24', '","255', '","0.0225', '","0', '",0'
"'2398', ","'22.06',"," '2026-05-05  22:59:15',"," '9.19', '","255', '","0.0284', '","0', '",0'
"'2399', ","'22.05',"," '2026-05-05  22:59:30',"," '12.3', '","255', '","0.0149', '","0', '",0'
"'2400', ","'21.97',"," '2026-05-05  22:59:45',"," '157.13',"," '255',"," '0.0128',"," '0',", '0'
"'2401', ","'21.97',"," '2026-05-05  23:00:00',"," '6.11', '","255', '","0.0095', '","0', '",0'
"'2402', ","'22.04',"," '2026-05-05  23:00:15',"," '13.86', ","'255', ","'0.0133', ","'0', ",'0'
"'2403', ","'21.88',"," '2026-05-05  23:00:30',"," '12.3', '","255', '","0.0174', '","0', '",0'
"'2404', ","'22.13',"," '2026-05-05  23:00:45',"," '5.77', '","255', '","0.0157', '","0', '",0'
